"MAX_PLAN_DT","PLAN_CTRL_CD","PLAN_CTRL_NUM"
10/20/2000,"R","3522"
10/6/2000,"S","5402"
10/11/2000,"N","6957"
10/3/2000,"N","6946"
10/4/2000,"N","6938"
9/19/2000,"N","6931"
9/29/2000,"R","3536"
9/28/2000,"S","5392"
9/28/2000,"R","3533"
9/21/2000,"N","6932"
8/7/2000,"N","6879"
9/20/2000,"S","5379"
9/7/2000,"N","6863"
8/7/2000,"N","6875"
9/12/2000,"N","6920"
9/6/2000,"S","5364"
8/15/2000,"N","6887"
9/6/2000,"S","5266"
8/24/2000,"N","6897"
8/17/2000,"N","6868"
8/22/2000,"S","5348"
8/15/2000,"R","3495"
8/15/2000,"R","3511"
8/16/2000,"N","6889"
8/16/2000,"R","3494"
8/9/2000,"R","3507"
8/1/2000,"N","6869"
8/7/2000,"N","6880"
