"PLAN_CTRL_CD","PLAN_CTRL_NUM","MMS_COMPANY_NUM","BUS_ASC_NAME","PLAN_TYPE_CODE","PLAN_RECV_DATE","PLAN_COORDINATOR"
"S","2467","00078","Chevron U.S.A. Inc.","DOCD",5/9/1990,"AG"
"S","2468","00078","Chevron U.S.A. Inc.","DOCD",5/9/1990,"WW"
"S","2469","01374","Transco Exploration and Production Company","POE",5/10/1990,"DT"
"S","2470","00369","CanadianOxy Offshore Production Co.","POE",5/10/1990,"MT"
"S","2471","01334","LLECO Holdings, Inc.","DOCD",5/11/1990,"AG"
"S","2472","00078","Chevron U.S.A. Inc.","DOCD",5/11/1990,"WW"
"S","2473","01509","Global Marine Oil & Gas Company","DOCD",5/11/1990,"DT"
"S","2474","03041","Hilcorp Energy GOM, LLC","EP",5/17/1990,"MT"
"S","2475","01046","The Houston Exploration Company","POE",5/22/1990,"AG"
"S","2476","00021","MOBIL NOC INC.","DOCD",5/24/1990,"WW"
"S","2477","01680","BP Exploration & Oil Inc.","POE",5/29/1990,"DT"
"S","2478","00040","Texaco Inc.","DOCD",5/29/1990,"MT"
"S","2479","01108","Sandefer Offshore Operating Co.","DOCD",5/30/1990,"AG"
"S","2480","00078","Chevron U.S.A. Inc.","POE",5/30/1990,"WW"
"S","2481","00040","Texaco Inc.","POE",6/4/1990,"DT"
"S","2483","00078","Chevron U.S.A. Inc.","DOCD",6/6/1990,"AG"
"S","2484","00250","ORYX ENERGY COMPANY","POE",6/12/1990,"WW"
"S","2485","02225","Freeport-McMoRan Sulphur Inc.","POE",6/13/1990,"DT"
"S","2486","01374","Transco Exploration and Production Company","POE",6/20/1990,"MT"
"S","2487","01956","Seagull Energy E&P Inc.","POE",6/20/1990,"AG"
"S","2488","00059","Hess Corporation","POE",6/20/1990,"WW"
"S","2489","00021","MOBIL NOC INC.","DOCD",6/20/1990,"DT"
"S","2490","00078","Chevron U.S.A. Inc.","DOCD",6/25/1990,"MT"
"S","2491","01089","Norcen Explorer, Inc.","POE",6/28/1990,"AG"
"S","2492","00491","EP Energy Management, L.L.C.","DOCD",6/29/1990,"WW"
"S","2493","00968","Union Texas Petroleum Corporation","DOCD",6/29/1990,"DT"
"S","2494","00078","Chevron U.S.A. Inc.","DOCD",6/29/1990,"MT"
"S","2495","00021","MOBIL NOC INC.","DOCD",7/3/1990,"AG"
"S","2496","00114","BP America Production Company","DOCD",7/5/1990,"WW"
"S","2498","00040","Texaco Inc.","DOCD",7/11/1990,"MT"
"S","2499","00846","Hall-Houston Oil Company","DOCD",7/16/1990,"AG"
"S","2500","00730","Walter Oil & Gas Corporation","POE",7/17/1990,"WW"
"S","2501","00114","BP America Production Company","DOCD",7/19/1990,"DT"
"S","2502","00722","Koch Exploration Company","POE",7/19/1990,"MT"
"S","2503","00021","MOBIL NOC INC.","POE",7/20/1990,"AG"
"S","2504","00114","BP America Production Company","DOCD",7/20/1990,"WW"
"S","2505","00078","Chevron U.S.A. Inc.","POE",7/20/1990,"DT"
"S","2506","00148","Anadarko E&P Company LP","POE",7/20/1990,"MT"
"S","2507","01374","Transco Exploration and Production Company","POE",7/20/1990,"AG"
"S","2508","01103","EOG Resources, Inc.","POE",7/24/1990,"WW"
